| targetfield | observingslot |       airmass |
|     Umi_B03 | 20210201_1400 |  1.8206897441 |
|     Umi_B03 | 20210210_0700 | 1.94025554196 |
|     Umi_B03 | 20210210_0800 | 1.70595085411 |
|     Umi_B03 | 20210210_0900 | 1.56657939463 |
|     Umi_B03 | 20210210_1000 | 1.49648517891 |
|     Umi_B03 | 20210210_1100 | 1.48408975982 |
|     Umi_B03 | 20210210_1200 | 1.52743665483 |
|     Umi_B03 | 20210210_1300 |  1.6334867871 |
|     Umi_B03 | 20210210_1400 |  1.8206897441 |
|     Umi_B03 | 20210211_0700 | 1.92118188504 |
|     Umi_B03 | 20210211_0800 | 1.69429210094 |
|     Umi_B03 | 20210211_0900 | 1.56005301595 |
|     Umi_B03 | 20210211_1000 | 1.49397561567 |
|     Umi_B03 | 20210211_1100 | 1.48519838824 |
|     Umi_B03 | 20210211_1200 | 1.53233701992 |
|     Umi_B03 | 20210211_1300 | 1.64298653865 |
|     Umi_B03 | 20210211_1400 | 1.83654031938 |
|     Umi_C01 | 20210201_0700 | 1.84390623286 |
|     Umi_C01 | 20210201_0800 | 1.64023556236 |
|     Umi_C01 | 20210201_0900 |  1.5228920488 |
|     Umi_C01 | 20210201_1000 | 1.47057371623 |
|     Umi_C01 | 20210201_1100 | 1.47462367639 |
|     Umi_C01 | 20210201_1200 | 1.53569374962 |
|     Umi_C01 | 20210201_1300 | 1.66398555209 |
|     Umi_C01 | 20210201_1400 | 1.88323758883 |
|     Umi_C01 | 20210210_0700 | 1.84390623286 |
|     Umi_C01 | 20210210_0800 | 1.64023556236 |
|     Umi_C01 | 20210210_0900 |  1.5228920488 |
|     Umi_C01 | 20210210_1000 | 1.47057371623 |
|     Umi_C01 | 20210210_1100 | 1.47462367639 |
|     Umi_C01 | 20210210_1200 | 1.53569374962 |
|     Umi_C01 | 20210210_1300 | 1.66398555209 |
|     Umi_C01 | 20210210_1400 | 1.88323758883 |
|     Umi_C01 | 20210211_0700 | 1.82722978006 |
|     Umi_C01 | 20210211_0800 | 1.63022379363 |
|     Umi_C01 | 20210211_0900 | 1.51762414656 |
|     Umi_C01 | 20210211_1000 | 1.46915434256 |
|     Umi_C01 | 20210211_1100 | 1.47682480965 |
|     Umi_C01 | 20210211_1200 |  1.5418705841 |
|     Umi_C01 | 20210211_1300 | 1.67520866015 |
|     Umi_C01 | 20210211_1400 | 1.90173389459 |
|     Umi_C02 | 20210201_0700 | 1.84390623286 |
|     Umi_C02 | 20210201_0800 | 1.64023556236 |
